,mmsi,imo,dataset,loitering,authorized_encounter,partial_encounter,pending_encounter,unknown_encounter,encounter,loitering_06,encounters_06,loitering_12,encounters_12,port_name,port_country,visit_times,last_port_name,last_port_country,last_visit_times,total_meetup,average_meetup,last_port_visit_month,avg_month_port_visit,meetup_since_last_port,month_since_last_port,likely_remaining_meetup,"('count', 'Kuril Islands (Japan v. Russia)')","('count', 'United States Exclusive Economic Zone (Alaska)')","('count', 'Guinea Bissau Exclusive Economic Zone')","('count', 'Chinese Exclusive Economic Zone')","('count', 'Japanese Exclusive Economic Zone')","('count', 'Kiribati Exclusive Economic Zone')","('count', 'Indonesian Exclusive Economic Zone')","('count', 'Canadian Exclusive Economic Zone')","('eez_visit', 'Kuril Islands (Japan v. Russia)')","('eez_visit', 'United States Exclusive Economic Zone (Alaska)')","('eez_visit', 'Guinea Bissau Exclusive Economic Zone')","('eez_visit', 'Chinese Exclusive Economic Zone')","('eez_visit', 'Japanese Exclusive Economic Zone')","('eez_visit', 'Kiribati Exclusive Economic Zone')","('eez_visit', 'Indonesian Exclusive Economic Zone')","('eez_visit', 'Canadian Exclusive Economic Zone')","('rfmo_visit', 'ACAP')","('rfmo_visit', 'APFIC')","('rfmo_visit', 'BOBP-IGO')","('rfmo_visit', 'CACFISH')","('rfmo_visit', 'CCAMLR')","('rfmo_visit', 'CCSBT')","('rfmo_visit', 'CCSBT-proposed')","('rfmo_visit', 'COREP')","('rfmo_visit', 'CPPS')","('rfmo_visit', 'EIFAAC')","('rfmo_visit', 'FFA')","('rfmo_visit', 'GFCM')","('rfmo_visit', 'IATTC')","('rfmo_visit', 'ICCAT')","('rfmo_visit', 'ICES')","('rfmo_visit', 'IOTC')","('rfmo_visit', 'IPHC')","('rfmo_visit', 'IWC')","('rfmo_visit', 'NAFO')","('rfmo_visit', 'NAMMCO')","('rfmo_visit', 'NASCO')","('rfmo_visit', 'NPAFC')","('rfmo_visit', 'NPFC')","('rfmo_visit', 'PICES')","('rfmo_visit', 'RECOFI')","('rfmo_visit', 'SEAFDEC')","('rfmo_visit', 'SIOFA')","('rfmo_visit', 'SPC')","('rfmo_visit', 'SPRFMO')","('rfmo_visit', 'SRFC')","('rfmo_visit', 'SWIOFC')","('rfmo_visit', 'WCPFC')",ETA,Call Sign,Name,Year Built,Latitude,Longitude,Heading,Flag,Deadweight,MMSI,Registered Owner,Speed,Builder,Port Of Registry,Navigation Status,at_port,MRGID_TER1,TERRITORY1,TERRITORY2,SOVEREIGN1,SOVEREIGN2,ISO_SOV1,in_eez,in_us_eez,in_five_eyes_eez,in_nato_eez,distance_us,nearest_us_territory
1459,273436790,,public-global-carrier-vessels:v20201001,56,0,0,0,56,56,2,0,3,3,VLADIVOSTOK,RUS,105.0,VLADIVOSTOK,RUS,10/25/22,112,0.22310757,2022-10,3.393939394,0,1.0,3.393939394,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,56.0,,,,,,56.0,,,,,,,,56.0,0.0,UIKZ,Petergof@@@@@@@@@@c\,19/12/1983,42.727033,131.657067,213.0,Russia,1985.0,273436790.0,Gidrostroy JSC-Sakhalin,10.1,Kochi (Kaisei),Korsakov,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,139.17490668679193,Maine
1460,311433000,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,COLON,PAN,24.0,ALANG,IND,9/23/16,0,0.0,2016-09,,0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1461,374173000,,public-global-carrier-vessels:v20201001,77,49,5,4,19,77,18,19,26,26,ZHOUSHAN,CHN,22.0,BUSAN,KOR,10/9/22,154,1.655913978,2022-10,8.210526316,1,1.0,7.210526316,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,19.0,39.0,77.0,,,,58.0,58.0,17.0,,,,,,,,58.0,11190500.0,3FYT4,Han Xing,25/06/2010,42.262492,147.46411,351.0,Panama,2300.0,374173000.0,  Unknown,7.7,Daishan Choujiamen Shbldg,Panama,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,148.96748949186352,Maine
1462,667956000,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,FREETOWN,SLE,1.0,FREETOWN,SLE,5/6/12,0,0.0,2012-05,,0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1463,525019038,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,SINGAPORE,SGP,48.0,KENDARI,IDN,8/22/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11042000.0,YCYB,Mv Berkah Jy Mandiri,18/03/1996,-3.611162,122.20236,294.4,Indonesia,1610.0,525019038.0,  Unknown,0.1,President Marine Pte Ltd,Jakarta,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,98.81485062023752,Maine
1464,371790000,,public-global-carrier-vessels:v20201001,4,4,0,0,0,4,0,0,0,0,MAJURO,MHL,23.0,RABAUL,PNG,10/15/22,8,0.060606061,2022-10,8.0,0,1.0,8.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,4.0,,,,4.0,10160900.0,H3XA,Kai De,01/08/1985,-4.231195,152.164522,4.0,Panama,4278.0,371790000.0,  Unknown,0.0,Hayashikane Shbldg - Nagasaki,Panama,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,122.79050349855679,Maine
1465,311062400,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,COLON,PAN,93.0,PUERTO BOLIVAR,ECU,10/26/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11181500.0,C6ZP7,Ditlev Reefer,19/01/1990,39.401518,-24.220507,55.0,Bahamas,16950.0,311062400.0,Chartworld Shipping Corp,17.7,Danyard A/S,Nassau                                ,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,95.67456259267539,Palau
1466,529096000,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,POHNPEI,FSM,7.0,KAOHSIUNG,TWN,8/27/15,0,0.0,2015-08,,0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1467,273851400,,public-global-carrier-vessels:v20201001,221,1,0,10,210,221,19,17,28,27,NEVELSK,RUS,119.0,BUSAN,KOR,10/24/22,442,1.661654135,2022-10,5.855263158,3,1.0,2.855263158,,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,220.0,,,,,,220.0,,,,,,,,220.0,11050900.0,UETR,Senite,,46.685,141.856667,-1.0,Russia,529.0,273851400.0,Binom,0.0,Kirova - Khabarovsk - USR,Nevelsk,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,148.6263195500157,Maine
1468,525800172,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,NIZAM ZACHMAN JAKARTA,IDN,10.0,MERAK MAS TERMINAL,IDN,8/30/22,0,0.0,2022-08,,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Km Bahana Marine 06,,-5.864747,106.211685,292.6,,,525800172.0,,4.5,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,85.63256926848828,Maine
1469,525005341,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,SINGAPORE,SGP,796.0,SINGAPORE,SGP,10/28/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Km. Sunly-10,,1.236535,103.790488,335.8,,,525005341.0,,9.3,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,89.34384318442153,Maine
1470,273316080,,public-global-carrier-vessels:v20201001,3,0,0,0,3,3,0,0,0,0,VLADIVOSTOK,RUS,20.0,BUSAN,KOR,8/24/14,6,0.081081081,2014-08,2.0,0,99.0,198.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1471,273381410,8729169.0,public-global-carrier-vessels:v20201001,3,1,0,0,2,3,0,0,0,0,MAKHACHKALA,RUS,100.0,MAKHACHKALA,RUS,10/27/22,6,0.019672131,2022-10,3.0,0,1.0,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,2082000.0,UBVN9,Yalta,,42.8309,48.0589,172.2,Russia,70.0,273381410.0,  Unknown,3.3,Kirova Astrakhan,Novorossiysk,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,99.0698489150209,Palau
1472,247123456,99999.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,VIAREGGIO,ITA,1.0,VIAREGGIO,ITA,7/12/16,0,0.0,2016-07,,0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8119,,25.24161,119.688067,205.9,,,247123456.0,,6.4,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,118.02049398061047,Maine
1473,636014413,8301682.0,public-global-carrier-vessels:v20201001,1,0,0,0,1,1,0,0,0,0,NIEUW- EN SINT JOOSLAND,NLD,2.0,CHITTAGONG,BGD,7/24/12,2,0.142857143,2012-07,2.0,0,124.0,248.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,6240900.0,A8TR8,Antarctic Star,,38.949088,117.870233,276.0,,,636014413.0,,0.3,,,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,128.0877466278198,Maine
1474,413447320,9677595.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,ZHOUSHAN,CHN,1.0,ZHOUSHAN,CHN,12/12/12,0,0.0,2012-12,,0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
1475,514328000,8838219.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,WAKKANAI,JPN,3.0,ZARUBINO,RUS,2/22/15,0,0.0,2015-02,,0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
