years_since_PSMA,JPN,KOR,MRT,MUS,PAN,ZAF
-5.0,144.311377245509,,,,,
-4.0,124.55089820359281,,96.875,,91.80327868852459,85.1063829787234
-3.0,135.92814371257484,129.2134831460674,115.625,69.56521739130434,104.91803278688525,76.59574468085107
-2.0,136.52694610778443,112.92134831460675,81.25,126.08695652173913,113.93442622950819,114.8936170212766
-1.0,116.16766467065868,88.76404494382022,84.375,91.30434782608695,118.85245901639344,70.2127659574468
0.0,100.0,100.0,100.0,100.0,100.0,100.0
1.0,78.44311377245509,102.24719101123596,71.875,134.7826086956522,45.08196721311475,61.702127659574465
2.0,65.26946107784431,133.14606741573033,75.0,134.7826086956522,9.836065573770492,59.57446808510638
3.0,49.10179640718563,135.3932584269663,,143.47826086956522,6.557377049180328,44.680851063829785
4.0,41.31736526946108,129.77528089887642,,86.95652173913044,3.278688524590164,29.78723404255319
5.0,,136.51685393258427,,117.3913043478261,,46.808510638297875
6.0,,,,95.65217391304348,,
