MRGID,number_of_loitering,latitude,longitude,preferredGazetteerName
8310.0,1,-29.09314,167.92898,Norfolk Island EEZ
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
3293.0,1,51.46545,2.70504,Belgian EEZ
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
8331.0,1,10.22543,102.54228,Cambodian EEZ
8309.0,1,-11.24358,105.36523,Christmas Island EEZ
5672.0,1,42.93396,29.20165,Bulgarian EEZ
,1,,,
,2,,,
8308.0,2,-12.03146,96.85434,Cocos Islands EEZ
,2,,,
,2,,,
,2,,,
,2,,,
,2,,,
,2,,,
8341.0,2,-23.53682,40.10928,Ile Europa EEZ
,2,,,
,2,,,
5684.0,2,55.75527,20.36412,Lithuanian EEZ
,2,,,
,2,,,
5689.0,2,44.24109,30.0785,Romanian EEZ
,3,,,
,3,,,
8357.0,3,29.18459,48.62908,Kuwaiti EEZ
8340.0,3,-20.86054,39.42518,Bassas da India EEZ
8374.0,3,33.90942,34.90392,Lebanese EEZ
8351.0,3,15.82346,40.59255,Eritrean EEZ
,3,,,
,3,,,
,3,,,
,3,,,
,3,,,
,4,,,
8373.0,4,35.32871,35.49624,Syrian EEZ
,4,,,
,4,,,
,4,,,
5676.0,4,61.75484,21.88919,Finnish EEZ
,4,,,
,4,,,
8355.0,4,19.74792,38.14367,Sudanese EEZ
,4,,,
8339.0,4,-17.30663,42.09428,Juan de Nova EEZ
,5,,,
,5,,,
,5,,,
,6,,,
,6,,,
5683.0,6,57.10433,21.35197,Latvian EEZ
,6,,,
,6,,,
5675.0,6,58.77012,23.00232,Estonian EEZ
8360.0,7,24.94396,53.89303,United Arab Emirates EEZ
8375.0,7,32.57437,34.08805,Israeli EEZ
8312.0,7,-21.01871,163.20377,New Caledonian EEZ
8325.0,7,-17.98795,177.6661,Fijian EEZ
,7,,,
8379.0,7,-7.94747,-14.36337,Ascension EEZ
,7,,,
,8,,,
,8,,,
,8,,,
,8,,,
,8,,,
,9,,,
8370.0,9,13.32867,-18.38751,Gambian EEZ
,9,,,
,9,,,Canadian EEZ
,9,,,
8319.0,10,19.50326,166.53046,Wake Island EEZ
,10,,,
,10,,,
,10,,,
,11,,,
,11,,,
,11,,,
,11,,,
,12,,,
,12,,,
5680.0,12,64.69826,-18.44845,Icelandic EEZ
,12,,,
,12,,,
,12,,,
,13,,,
8353.0,13,12.88906,52.06161,Yemeni EEZ
8362.0,13,16.0919,-24.17164,Cape Verdean EEZ
,14,,,
,14,,,
8376.0,16,34.48929,32.63526,Cypriote EEZ
8338.0,16,-21.78197,54.71328,Réunion EEZ
5687.0,16,54.90857,17.2906,Polish EEZ
,18,,,
,18,,,
,18,,,
8359.0,18,23.53952,64.71198,Pakistani EEZ
,19,,,
,19,,,
,20,,,
8356.0,20,22.45463,40.4858,Saudi Arabian EEZ
,21,,,
,22,,,
,23,,,
,24,,,
5681.0,25,52.65269,-11.74631,Irish EEZ
8333.0,26,9.97738,92.18967,Indian EEZ (Andaman and Nicobar Islands)
8345.0,27,2.48241,73.08337,Maldives EEZ
8346.0,29,6.54638,81.63607,Sri Lankan EEZ
,32,,,
5679.0,32,36.50714,23.93245,Greek EEZ
,33,,,
8348.0,33,-20.91335,47.25395,Madagascan EEZ
5694.0,35,59.4855,18.11517,Swedish EEZ
,36,,,
,36,,,
,38,,,
,40,,,
,40,,,
5682.0,41,39.65467,12.92786,Italian EEZ
,41,,,
8350.0,47,5.38252,48.7186,Somali EEZ
8347.0,48,-20.37062,37.9574,Mozambican EEZ
,48,,,
8323.0,49,-27.36726,138.08226,Australian EEZ
,50,,,
5697.0,50,40.52224,33.2206,Turkish EEZ
8315.0,50,6.44073,133.0671,Palau EEZ
8332.0,50,9.16617,99.62868,Thailand EEZ
8363.0,52,33.17302,-16.81091,Portuguese EEZ (Madeira)
,52,,,
8328.0,53,39.82785,128.99535,North Korean EEZ
8378.0,53,37.20344,3.53979,Algerian EEZ
,54,,,
8361.0,54,38.47538,-27.97601,Portuguese EEZ (Azores)
5674.0,55,56.14213,9.24983,Danish EEZ
8372.0,60,33.143,18.49934,Libyan EEZ
,61,,,
8337.0,61,-6.54776,52.46886,Seychellois EEZ
5695.0,62,44.95192,33.63465,Overlapping claim Ukrainian EEZ
