MRGID,number_of_loitering,latitude,longitude,preferredGazetteerName
8366.0,62,36.00133,11.05319,Tunisian EEZ
8343.0,65,-16.81021,60.1172,Mauritian EEZ
,66,,,
,66,,,
8371.0,66,13.69463,-18.50357,Senegalese EEZ
,69,,,
5688.0,72,38.31921,-10.92284,Portuguese EEZ
,74,,,
,78,,,
,80,,,
,81,,,
,82,,,
,82,,,
,91,,,
8317.0,94,-0.59113,166.12396,Nauruan EEZ
,94,,,
5677.0,94,46.04212,-1.96613,French EEZ
8367.0,96,32.78135,-9.85201,Moroccan EEZ
,99,,,
8321.0,101,21.42076,118.71458,Overlapping claim Taiwanese EEZ
8314.0,104,-10.05068,163.6885,Solomon Islands EEZ
,104,,,
,105,,,
,106,,,
,115,,,Guinea Bissau EEZ
,116,,,
,117,,,
,117,,,
,122,,,
5685.0,129,35.31355,15.11121,Maltese EEZ
,134,,,
,134,,,
,151,,,
,156,,,
,157,,,
8322.0,173,12.245,122.15314,Philippines EEZ
,196,,,
5693.0,201,41.72201,-4.15801,Spanish EEZ
8368.0,205,23.34236,-17.69542,Overlapping claim Western Saharan EEZ
,217,,,
,220,,,
,240,,,
,240,,,
5668.0,258,53.61208,4.18654,Dutch EEZ
,263,,,
8364.0,308,28.36715,-17.61396,Spanish EEZ (Canary Islands)
,309,,,
,339,,,
,344,,,
5696.0,354,56.77953,-4.28967,United Kingdom EEZ
8318.0,364,10.15204,167.48735,Marshall Islands EEZ
5669.0,393,54.55354,8.3944,German EEZ
,405,,,United States EEZ (Alaska)
,480,,,
,506,,,
,507,,,
8369.0,603,18.24852,-17.91755,Mauritanian EEZ
,747,,,
8327.0,845,35.74071,127.57712,South Korean EEZ
8354.0,861,18.94915,58.66998,Omani EEZ
8324.0,1031,-5.46159,150.71774,Papua New Guinean EEZ
8316.0,1260,6.7693,150.32203,Micronesian EEZ
,1316,,,Chinese EEZ
,1401,,,Kiribati EEZ
,1797,,,Kuril Islands (Japan v. Russia)
8326.0,1917,-7.81254,178.18288,Tuvaluan EEZ
5686.0,2206,68.18893,14.05714,Norwegian EEZ
,4278,,,Indonesian EEZ
,4799,,,Japanese EEZ
5690.0,38017,71.3249,112.50713,Russian EEZ
