MRGID,number_of_loitering,latitude,longitude,preferredGazetteerName
,1147,,,
8327.0,1199,35.74071,127.57712,South Korean EEZ
,1250,,,
,1308,,,
,1539,,,
,1558,,,
,1608,,,
,1640,,,
,1754,,,Canadian EEZ
8369.0,2129,18.24852,-17.91755,Mauritanian EEZ
8326.0,2170,-7.81254,178.18288,Tuvaluan EEZ
,2339,,,Chinese EEZ
5696.0,2505,56.77953,-4.28967,United Kingdom EEZ
8316.0,2667,6.7693,150.32203,Micronesian EEZ
,2695,,,Kiribati EEZ
8324.0,2784,-5.46159,150.71774,Papua New Guinean EEZ
,3155,,,United States EEZ (Alaska)
,3204,,,Guinea Bissau EEZ
,3735,,,Kuril Islands (Japan v. Russia)
,4597,,,Indonesian EEZ
5686.0,4798,68.18893,14.05714,Norwegian EEZ
,7345,,,Japanese EEZ
5690.0,76952,71.3249,112.50713,Russian EEZ
