eez,event_id,id,iso3,label,preferredGazetteerName
48974,19,48974,ECU,Joint regime area Ecuador / Colombia,
8452,20,8452,USA,Johnston Atoll Exclusive Economic Zone,
22756,20,22756,CHL,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),
8412,21,8412,GBR,Anguilla Exclusive Economic Zone,
8442,22,8442,USA,Jarvis Island Exclusive Economic Zone,
8431,22,8431,ECU,Ecuadorian Exclusive Economic Zone,
8420,23,8420,TTO,Trinidad and Tobago Exclusive Economic Zone,
8319,24,8319,USA,Wake Island Exclusive Economic Zone,
8446,25,8446,NZL,Cook Islands Exclusive Economic Zone,
8382,25,8382,GBR,Tristan Da Cunha Exclusive Economic Zone,
62589,26,62589,MUS,Chagos Archipelago Exclusive Economic Zone,
8418,26,8418,BRB,Barbados Exclusive Economic Zone,
8427,27,8427,HND,Honduran Exclusive Economic Zone,
33177,29,33177,FRA,Guadeloupean Exclusive Economic Zone,
8435,29,8435,DNK,Faeroe Exclusive Economic Zone,
48962,30,48962,PER,Joint regime area Peru / Ecuador,
8345,30,8345,MDV,Maldives Exclusive Economic Zone,
8469,30,8469,IRN,Iranian Exclusive Economic Zone,
8312,30,8312,FRA,New Caledonian Exclusive Economic Zone,
8403,31,8403,ECU,Ecuadorian Exclusive Economic Zone (Galapagos),
5675,31,5675,EST,Estonian Exclusive Economic Zone,
48946,32,48946,FRA,Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus,
8333,32,8333,IND,Indian Exclusive Economic Zone (Andaman and Nicobar Islands),
8360,33,8360,ARE,United Arab Emirates Exclusive Economic Zone,
8353,33,8353,YEM,Yemeni Exclusive Economic Zone,
48962,33,48962,PER,Joint regime area Peru / Ecuador,
8411,35,8411,GBR,British Virgin Islands Exclusive Economic Zone,
8359,35,8359,PAK,Pakistani Exclusive Economic Zone,
8402,36,8402,GBR,Bermudian Exclusive Economic Zone,
5672,38,5672,BGR,Bulgarian Exclusive Economic Zone,
5687,41,5687,POL,Polish Exclusive Economic Zone,
8338,41,8338,FRA,Réunion Exclusive Economic Zone,
3293,42,3293,BEL,Belgian Exclusive Economic Zone,
8354,43,8354,OMN,Omani Exclusive Economic Zone,
8370,44,8370,GMB,Gambian Exclusive Economic Zone,
8346,46,8346,LKA,Sri Lankan Exclusive Economic Zone,
8366,51,8366,TUN,Tunisian Exclusive Economic Zone,
8356,51,8356,SAU,Saudi Arabian Exclusive Economic Zone,
8332,52,8332,THA,Thailand Exclusive Economic Zone,
8425,54,8425,NIC,Nicaraguan Exclusive Economic Zone,
8337,59,8337,SYC,Seychellois Exclusive Economic Zone,
5689,62,5689,ROU,Romanian Exclusive economic Zone,
8477,62,8477,COD,Democratic Republic of the Congo Exclusive Economic Zone,
8437,64,8437,NOR,Jan Mayen Exclusive Economic Zone,
8461,69,8461,SUR,Surinamese Exclusive Economic Zone,
8376,69,8376,CYP,Cypriote Exclusive Economic Zone,
8758,70,8758,TLS,East Timorian Exclusive Economic Zone,
33179,75,33179,USA,Puerto Rican Exclusive Economic Zone,
8321,76,8321,TWN,Taiwanese Exclusive Economic Zone,
8323,78,8323,AUS,Australian Exclusive Economic Zone,
8328,79,8328,PRK,North Korean Exclusive Economic Zone,
8490,79,8490,EGY,Egyptian Exclusive Economic Zone,
8467,80,8467,URY,Uruguayan Exclusive Economic Zone,
8459,81,8459,JAM,Jamaican Exclusive Economic Zone,
8408,84,8408,HTI,Haitian Exclusive Economic Zone,
48980,84,48980,USA,Northern Mariana Exclusive Economic Zone,
8371,85,8371,SEN,Senegalese Exclusive Economic Zone,
5695,89,5695,UKR,Overlapping claim Ukrainian Exclusive Economic Zone,
48961,90,48961,URY,Joint regime area Argentina / Uruguay,
8362,91,8362,CPV,Cape Verdean Exclusive Economic Zone,
48961,92,48961,URY,Joint regime area Argentina / Uruguay,
8315,93,8315,PLW,Palau Exclusive Economic Zone,
8347,94,8347,MOZ,Mozambican Exclusive Economic Zone,
8440,97,8440,FRA,French Polynesian Exclusive Economic Zone,
8404,99,8404,BHS,Bahamas Exclusive Economic Zone,
21796,106,21796,KOR,Joint regime area Japan / Korea,
8372,112,8372,LBY,Libyan Exclusive Economic Zone,
8455,113,8455,NZL,New Zealand Exclusive Economic Zone,
8480,117,8480,IND,Indian Exclusive Economic Zone,
5685,118,5685,MLT,Maltese Exclusive Economic Zone,
8397,120,8397,STP,Sao Tome and Principe Exclusive Economic Zone,
8433,129,8433,VEN,Venezuelan Exclusive Economic Zone,
8392,136,8392,TGO,Togolese Exclusive Economic Zone,
8465,144,8465,CHL,Chilean Exclusive Economic Zone,
8348,145,8348,MDG,Madagascan Exclusive Economic Zone,
5694,147,5694,SWE,Swedish Exclusive Economic Zone,
5674,148,5674,DNK,Danish Exclusive Economic Zone,
8483,150,8483,MYS,Malaysian Exclusive Economic Zone,
8471,151,8471,GNB,Guinea Bissau Exclusive Economic Zone,
8361,162,8361,PRT,Portuguese Exclusive Economic Zone (Azores),
5697,166,5697,TUR,Turkish Exclusive Economic Zone,
8406,172,8406,CUB,Cuban Exclusive Economic Zone,
8343,178,8343,MUS,Mauritian Exclusive Economic Zone,
8466,181,8466,ARG,Argentinean Exclusive Economic Zone,
8317,196,8317,NRU,Nauruan Exclusive Economic Zone,
5696,196,5696,GBR,United Kingdom Exclusive Economic Zone,
8409,197,8409,DOM,Dominican Republic Exclusive Economic Zone,
8398,208,8398,GNQ,Equatorial Guinean Exclusive Economic Zone,
5682,209,5682,ITA,Italian Exclusive Economic Zone,
8378,211,8378,DZA,Algerian Exclusive Economic Zone,
21797,212,21797,STP,Joint regime area Nigeria / Sao Tome and Principe,
5679,214,5679,GRC,Greek Exclusive Economic Zone,
48967,218,48967,GBR,Joint regime area United Kingdom / Denmark (Faeroe Islands),
48967,223,48967,GBR,Joint regime area United Kingdom / Denmark (Faeroe Islands),
5688,223,5688,PRT,Portuguese Exclusive Economic Zone,
8424,224,8424,CRI,Costa Rican Exclusive Economic Zone,
48964,231,48964,SEN,Joint regime area Senegal / Guinea Bissau,
8464,236,8464,BRA,Brazilian Exclusive Economic Zone,
48964,236,48964,SEN,Joint regime area Senegal / Guinea Bissau,
8438,248,8438,DNK,Greenlandic Exclusive Economic Zone,
8322,262,8322,PHL,Philippines Exclusive Economic Zone,
8476,262,8476,GAB,Gabonese Exclusive Economic Zone,
8489,269,8489,ATA,Antarctic 200NM zone beyond the coastline,
8489,269,8489,ATA,Antarctic 200NM zone beyond the coastline,
8489,269,8489,ATA,Antarctic 200NM zone beyond the coastline,
8383,278,8383,GBR,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,
8383,278,8383,GBR,Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina,
8396,279,8396,ZAF,South African Exclusive Economic Zone,
8393,291,8393,BEN,Beninese Exclusive Economic Zone,
8363,335,8363,PRT,Portuguese Exclusive Economic Zone (Madeira),
5677,339,5677,FRA,French Exclusive Economic Zone,
8391,351,8391,LBR,Liberian Exclusive Economic Zone,
8467,359,8467,URY,Uruguayan Exclusive Economic Zone,
8450,388,8450,KIR,Kiribati Exclusive Economic Zone (Phoenix Islands),
8314,413,8314,SLB,Solomon Islands Exclusive Economic Zone,
8390,423,8390,SLE,Sierra Leonian Exclusive Economic Zone,
5669,432,5669,DEU,German Exclusive Economic Zone,
8394,470,8394,COG,Congolese Exclusive Economic Zone,
8429,475,8429,MEX,Mexican Exclusive Economic Zone,
8423,514,8423,PAN,Panamanian Exclusive Economic Zone,
5684,519,5684,LTU,Lithuanian Exclusive Economic Zone,
5668,520,5668,NLD,Dutch Exclusive Economic Zone,
8367,521,8367,MAR,Moroccan Exclusive Economic Zone,
8395,591,8395,NAM,Namibian Exclusive Economic Zone,
5681,596,5681,IRL,Irish Exclusive Economic Zone,
8371,598,8371,SEN,Senegalese Exclusive Economic Zone,
8431,634,8431,ECU,Ecuadorian Exclusive Economic Zone,
8327,642,8327,KOR,South Korean Exclusive Economic Zone,
8456,654,8456,USA,United States Exclusive Economic Zone,
33181,688,33181,NOR,Svalbard Exclusive Economic Zone,
8432,716,8432,PER,Peruvian Exclusive Economic Zone,
8472,770,8472,GIN,Guinean Exclusive Economic Zone,
8318,776,8318,MHL,Marshall Islands Exclusive Economic Zone,
8368,779,8368,ESH,Overlapping claim Western Saharan Exclusive Economic Zone,
